locationID|
60000085|
60000358|
60002515|
60003466|
60003643|
60003760|
60004519|
60004549|
60004588|
60006040|
60006220|
60006292|
60006526|
61000335|
60006610|
60012079|
60012238|
60012688|
60012301|
60014951|
60012085|
60012880|
60006955|
60014898|
61000796|
61000267|
60014059|
60008494|
60008950|
60014374|
60006880|
1004843697743|
60014857|
61000759|
1007726943027|
61000721|
1022662983175|
1021136952292|
1023692790235|
1019494149213|
9001105628000022229|
1023594619575|
9001145796000279392|
9001176382000021560|
1022686662740|
9001183065000142150|
1019938611337|
9001186364000049333|
9001197781000170781|
1023881178327|
9001201308000071867|
1022803329546|
1025002560018|
1022734593278|
1023455842837|
1022356721403|
1022185698558|
1023075604524|
9001317185000305150|
1022830710698|
